From,To,Length,Cost,Capacity
PortoAlegre,Florianopolis,412.816669303066,1,50
PortoAlegre,Brasilia,1641.3235755924302,1,50
Florianopolis,Curitiba,239.290744722797,1,50
SaoPaulo,Brasilia,880.5232852681751,1,50
SaoPaulo,Curitiba,296.887622466876,1,50
SaoPaulo,RioDeJaneiro,361.207594090418,1,50
RioDeJaneiro,BeloHorizonte,294.799021985305,1,50
RioDeJaneiro,Salvador,1219.84836943232,1,50
Salvador,Recife,575.687851060827,1,50
Curitiba,Brasilia,1061.6040934751159,1,50
BeloHorizonte,Brasilia,612.014589955996,1,50
BeloHorizonte,Fortaleza,1884.52283510062,1,50
Recife,Fortaleza,553.7497795463939,1,50
